list_id,user_id
607084,1001
614162,1001
592607,1001
607088,1001
608631,1009
565501,1009
610350,1009
572308,1009
598219,1009
608361,1009
605603,1009
595153,1009
605634,1009
605077,1009
598222,1009
576716,1009
614436,1009
605633,1009
608289,1009
605074,1009
614602,1009
604175,1009
614437,1009
608288,1009
604064,1009
608286,1009
610344,1009
606321,1009
605635,1009
605610,1009
608287,1009
605075,1009
608291,1009
572307,1009
608256,1009
605729,1009
614439,1009
608925,1009
608630,1009
604738,1009
614601,1009
608279,1009
602738,3794
607865,3794
602881,3794
615320,3794
604497,3794
564054,3794
602872,3794
27160,8693
601047,15505
588812,15505
435547,15505
593857,15505
570091,15505
595711,15505
567508,24421
33647,26404
607620,27996
63211,27996
607583,27996
607591,27996
607609,27996
34016,28339
599336,29221
548941,29408
609319,29408
607709,30484
613037,30484
604523,30484
603048,30484
34650,30587
64879,30587
605675,32907
605680,32907
594145,32907
605672,32907
595446,32907
601899,32907
601918,32907
605734,32907
598374,32907
610975,35564
602081,35564
357875,35564
614789,35564
614790,35564
236388,35564
236387,35564
614788,35564
272747,35564
614460,35564
614462,35564
304930,35564
272743,35564
614713,35564
614838,35564
40203,36067
604898,36255
580301,36554
596231,37656
596270,37656
596272,37656
596268,37656
596269,37656
596271,37656
596230,37656
596276,37656
596541,37656
596229,37656
596543,37656
596227,37656
610698,37683
610691,37683
610726,37683
41963,37835
595325,38263
43579,39454
615361,40466
598104,40466
610418,42124
611736,42124
610424,42124
595904,42702
46863,42843
213578,43007
51877,43014
269415,44228
613093,44228
613090,44228
228512,44228
560802,44228
52095,44747
611755,44747
611754,44747
52090,44747
205961,46092
205960,46092
205964,46092
205954,46092
205963,46092
599320,46092
205962,46092
611428,46191
310522,46191
610632,46191
63776,46463
561286,47111
561377,47111
51546,47379
394929,47783
393594,47783
394949,47783
394263,47783
601553,47783
394221,47783
394955,47783
394967,47783
389571,47783
51968,47783
394249,47783
583279,47916
591496,47916
584776,47916
52114,47916
585184,47916
584759,47916
584769,47916
585178,47916
597622,47916
585185,47916
584775,47916
584780,47916
584753,47916
53631,49374
594284,49374
594285,49374
594283,49374
460259,49645
576954,49645
578616,49645
572826,49645
85206,50168
558394,50337
56940,52546
611949,52546
603388,52895
583510,53307
614823,53491
614825,53491
614081,54220
61221,54220
149765,54953
69054,54953
228092,55572
88876,55572
89861,55572
144107,55572
228098,55572
206119,55572
562363,55572
215191,55572
88875,55572
87891,56200
64236,57024
602915,57420
575909,57596
64987,57726
65386,58111
603574,59893
605769,59893
67231,59941
253943,59941
570187,60175
585167,60735
605535,60765
550146,60989
607835,60989
576843,60989
68263,60989
599427,61071
615521,61071
593051,61071
615522,61071
593050,61071
307471,63422
576978,63422
572124,63422
307438,63422
563291,63422
307716,63422
323129,63422
570145,63422
570043,63422
576101,63422
576112,63422
335669,63422
559699,63422
307714,63422
307440,63422
279174,63422
307712,63422
308139,63422
309151,63422
557805,63422
75111,63422
582138,63519
577780,63519
185832,63519
611476,63594
201318,63594
596199,63808
409217,64027
600158,64027
85563,64027
217953,64027
230576,64027
595511,64027
601518,64027
423625,64027
155042,66207
73634,66207
210869,66544
214124,66544
214440,66544
214364,66544
214131,66544
594208,67610
308324,70110
79315,71714
79997,72348
87972,72479
206788,72479
608066,72479
558001,72479
596645,72479
80148,72490
600677,72490
597380,72490
80552,72868
563047,73595
598166,73723
614277,75029
604741,75029
604256,75029
613782,75029
599103,75029
595649,75029
607915,75029
611123,75029
610770,75029
607758,75029
596563,75029
600965,75029
600723,75029
598056,75029
596390,75029
596097,76451
599758,76451
596101,76451
596100,76451
596098,76451
596220,76451
136413,77950
86140,78077
598784,78185
606147,78185
598786,78185
607961,78185
605054,78185
598763,78185
598787,78185
598768,78185
609802,78185
598785,78185
598789,78185
598783,78185
606343,78185
602737,78185
598759,78185
606577,78185
598765,78185
606006,78185
606578,78185
606344,78185
598760,78185
607960,78185
606345,78185
598653,78185
598781,78185
609803,78185
609800,78185
609799,78185
598379,78185
603234,78185
598761,78185
609801,78185
598652,78185
607963,78185
607962,78185
86420,78347
86757,78661
614143,79261
608407,79261
580382,81961
252149,81961
90343,81961
580394,81961
595986,81961
595984,81961
595983,81961
473980,81961
90534,82134
91128,82680
140559,83309
612687,84466
598865,86081
594855,86081
607364,86081
596799,86081
610200,86081
595918,86303
568157,86303
